"Real","ETS","GBM","XGBOOST","SARIMAX"
7183.87,7183.87,7183.87,7183.87,7183.87
7227.69,7205.56084127069,7208.1708713336,7208.07723342895,7216.17048902984
7251.54,7227.26448227757,7247.95252744394,7236.39986907959,7253.30363987538
7286.35,7248.98092302064,7272.19050079319,7263.30636322021,7295.40623543327
7286.35,7270.71016349989,7292.87820484833,7285.38309204102,7333.82778676674
7394.19,7292.45220371533,7315.62567611035,7308.87079727173,7368.0606729346
7431.9,7314.20704366696,7335.3637961128,7329.84477149963,7398.15813514389
7467.57,7335.97468335477,7357.70017165988,7349.30022537231,7426.49389043935
7493.71,7357.75512277877,7378.76873040916,7370.36576377869,7456.19773091472
